Demo Profil ! 
1.000000 -0.000000
0.999549 0.000079
0.998199 0.000322
0.995950 0.000732
0.992808 0.001305
0.988778 0.002040
0.983866 0.002939
0.978083 0.003987
0.971439 0.005165
0.963945 0.006459
0.955614 0.007857
0.946463 0.009351
0.936507 0.010924
0.925765 0.012572
0.914255 0.014287
0.901999 0.016065
0.889018 0.017900
0.875336 0.019788
0.860978 0.021721
0.845969 0.023695
0.830337 0.025702
0.814110 0.027732
0.797317 0.029779
0.779987 0.031833
0.762154 0.033887
0.743847 0.035932
0.725102 0.037960
0.705951 0.039965
0.686428 0.041934
0.666570 0.043858
0.646411 0.045726
0.625989 0.047531
0.605340 0.049262
0.584500 0.050911
0.563509 0.052467
0.542403 0.053924
0.521221 0.055271
0.500000 0.056497
0.478779 0.057593
0.457597 0.058557
0.436491 0.059382
0.415500 0.060061
0.394660 0.060586
0.374011 0.060954
0.353589 0.061158
0.333430 0.061191
0.313572 0.061047
0.294049 0.060724
0.274898 0.060219
0.256153 0.059533
0.237846 0.058664
0.220013 0.057611
0.202683 0.056374
0.185890 0.054958
0.169663 0.053366
0.154031 0.051598
0.139022 0.049661
0.124664 0.047558
0.110982 0.045294
0.098001 0.042872
0.085745 0.040301
0.074235 0.037605
0.063493 0.034797
0.053537 0.031888
0.044386 0.028902
0.036055 0.025865
0.028561 0.022777
0.021917 0.019628
0.016134 0.016439
0.011222 0.013275
0.007192 0.010228
0.004050 0.007408
0.001801 0.005208
0.000451 0.001974
0.000000 0.000000
0.000451 -0.001424
0.001801 -0.003756
0.004050 -0.005281
0.007192 -0.007098
0.011222 -0.008941
0.016134 -0.010802
0.021917 -0.012624
0.028561 -0.014401
0.036055 -0.016136
0.044386 -0.017822
0.053537 -0.019453
0.063493 -0.020993
0.074235 -0.022434
0.085745 -0.023771
0.098001 -0.024994
0.110982 -0.026094
0.124664 -0.027057
0.139022 -0.027875
0.154031 -0.028551
0.169663 -0.029091
0.185890 -0.029497
0.202683 -0.029777
0.220013 -0.029935
0.237846 -0.029979
0.256153 -0.029915
0.274898 -0.029744
0.294049 -0.029467
0.313572 -0.029093
0.333430 -0.028625
0.353589 -0.028066
0.374011 -0.027422
0.394660 -0.026701
0.415500 -0.025902
0.436491 -0.025036
0.457597 -0.024109
0.478779 -0.023130
0.500000 -0.022108
0.521221 -0.021048
0.542403 -0.019955
0.563509 -0.018835
0.584500 -0.017692
0.605340 -0.016530
0.625989 -0.015356
0.646411 -0.014170
0.666570 -0.012983
0.686428 -0.011801
0.705951 -0.010631
0.725102 -0.009485
0.743847 -0.008369
0.762154 -0.007295
0.779987 -0.006269
0.797317 -0.005299
0.814110 -0.004391
0.830337 -0.003552
0.845969 -0.002785
0.860978 -0.002093
0.875336 -0.001479
0.889018 -0.000942
0.901999 -0.000487
0.914255 -0.000109
0.925765 0.000191
0.936507 0.000416
0.946463 0.000569
0.955614 0.000656
0.963945 0.000685
0.971439 0.000665
0.978083 0.000604
0.983866 0.000512
0.988778 0.000400
0.992808 0.000280
0.995950 0.000170
0.998199 0.000071
0.999549 0.000013
1.000000 -0.000003
